,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,0.6403076755104269,0.8922723702495318,0.5020922421670797,0.19718309859154928,0.05508196721311476,0.08610968733982573
Valid,0.6430911200958371,0.8927017883035283,0.49823082792637946,0.1320754716981132,0.03825136612021858,0.059322033898305086
Test,0.5986582115614374,0.8960850652489125,0.5050762888456439,0.14814814814814814,0.04519774011299435,0.06926406926406926
