Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.8602759277325253,0.9849742102809185,0.23554621645951743,0.001256724944194241,3.129800811220809e-05,0.0,0.0,0.0,0.0
Valid,0.659108787863859,0.9743948359332975,0.2646603584806789,0.002049445172338486,0.00041904646864244816,0.0,0.0,0.0,0.0
Test,0.4185121571084921,0.9013179081122994,0.8372108681566686,1.4622566757858082,0.15781629875451697,0.0923120891683338,0.10553445469343462,0.11985503494693243,0.13577799801783944
