,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,1.0,0.9999163809683084,0.00837791088856728,0.9998741188318228,0.9999383325111002,0.9999061863557237
Valid,0.9974373473737155,0.9702102803738317,0.1216275148976748,0.9701040967106745,0.9719885575176057,0.9709994528451493
Test-Blood,0.9958644503448743,0.960830166617948,0.1500443295682897,0.9534044346069603,0.967500666666621,0.9598610555981881
Test-Raabin,0.598433675137547,0.040631394329143526,3.1508075645309983,0.0812294915838223,0.20038650075414782,0.07645051163969499
