,OOD AUROC-Raabin,OOD AUROC-Bone Marrow,OOD AUROC-ChestMNIST,OOD AUPR-Raabin,OOD AUPR-Bone Marrow,OOD AUPR-ChestMNIST
ResNet18 Entropy,0.7293685569663994,0.9192026379701145,0.8805360839787885,0.7882106583964175,0.9056486489391116,0.8695879938394865
ResNet18 MC Dropout,0.7249256851157727,0.9124600612770428,0.8904394090491684,0.7678436823397536,0.8851195144469208,0.8857386760954002
Deep Ensemble,0.9209789835140538,0.9337271615614855,0.898839731660657,0.9340540235849378,0.9373149444490895,0.8875881733575293
ResNet18 RUE,0.9999875248232519,0.9977466071150718,0.9999942750901224,0.9999874733280754,0.9977711687585501,0.9999942592229849
ResNet18 egRUE,0.9963903161525941,0.9457603239991382,0.9965770165717343,0.9955739461684449,0.9457422644435571,0.9958019456204938
BNN,0.8452625217236832,0.8900293089751804,0.9238041838154063,0.8235586649700805,0.8834343225747983,0.9006560310628187
DEC,0.787217959537875,0.8351532280673362,0.9194252258840094,0.8360260253152186,0.8714786704211577,0.9307907757825231
PostNet Aleatoric,0.9721852262975701,0.8880724578772666,0.9544013491647314,0.9676475014029147,0.8497333696965425,0.9350544698322197
PostNet Epistemic,0.9796616168119583,0.8885479671827659,0.968316554363018,0.9783750986481804,0.8676214991428691,0.9643666247327974
