Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,-0.022554656644379112,0.46361249542472616,0.00895422705198115,0.03696964983902333,0.011715190832681271,0.02702702702702703,0.015432098765432098,0.011230697239120261,0.012724117987275883
Valid,0.07636254407609144,0.6765312207172672,0.035636261099736985,0.03362994941174672,0.009147959231880083,0.0,0.0,0.0,0.004081632653061225
Test,0.5390927955764431,0.9117836457029425,0.8406349480243835,1.1007443944137938,0.13044358295475014,0.00267379679144385,0.010972933430870519,0.02164804469273743,0.032055122828040745
