,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
ResNet18 Entropy,-0.16092445184405016,0.7026617264591498,0.6241584512324625,5.578564423107497,0.25979058256884496,0.28022857142857144,0.29758149316508936,0.3083585095669688,0.31682589198674205
ResNet18 MC Dropout,-0.16727070281314876,0.6982287028950003,0.5925385598096329,5.559587353551494,0.26139156378392236,0.2799539170506912,0.3021826658190295,0.3119062057812816,0.3195554689023201
Deep Ensemble,0.4185121571084921,0.9013179081122994,0.8372108681566686,1.4622566757858082,0.15781629875451697,0.0923120891683338,0.10553445469343462,0.11985503494693243,0.13577799801783944
ResNet18 RUE,0.5489844362683327,0.905366226239154,0.8056197882289727,1.1132093779339038,0.13338205932831304,0.006622516556291391,0.018959257765227916,0.02254960914010824,0.02424773590417762
ResNet18 egRUE,0.5390927955764431,0.9117836457029425,0.8406349480243835,1.1007443944137938,0.13044358295475014,0.00267379679144385,0.010972933430870519,0.02164804469273743,0.032055122828040745
BNN,0.11199808564035306,0.8023674317447024,0.625400894906256,2.1896995650299087,0.15663414199854053,0.09468049514887922,0.10964777947932619,0.12042639008931144,0.13525917926565875
DEC,0.36678408566875514,0.774252583427005,0.6449534381420232,0.9488176413425425,0.2205136480845607,0.514018691588785,0.20664869721473494,0.12799315849486886,0.16173386157072944
PostNet Aleatoric,0.4102100206539536,0.9554856545414524,0.9362025419594039,0.6552870039331401,0.17271272264059281,0.17219057483169342,0.24988473951129553,0.30956375838926176,0.351288056206089
PostNet Epistemic,0.473621013099935,0.960375336146919,0.9437880457946629,0.6430570744540577,0.17088128258430826,0.12993734677199673,0.21604790419161676,0.28909442890944287,0.3471896955503513
