,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.4978709679138457,4.919346583352627e-130,0.0540479421241419,0.7743917157000463,0.349684382876283,0.0175438596491228,0.0336605890603085,0.044214487300094,0.0604719764011799,0.4087690921097977
egRUE,0.5638873701966101,5.359826883380908e-174,0.0466426187649378,0.8054617974904934,0.3469840901303746,0.0140845070422535,0.0189873417721519,0.0249433106575963,0.0326659641728134,0.4019280302660524
Entropy,0.7161518720456308,0.0,0.0434147647027718,0.8191350867960066,0.3949204022122772,0.0,0.0,0.0116279069767441,0.0112994350282485,0.3536619452178297
Deep Ensemble,-0.5904455427216247,1.1652704113837474e-194,0.1787012819649971,0.2819067727789507,0.073521847384898,0.24,0.2228260869565217,0.2198731501057082,0.1778425655976676,0.550720732852586
MC Dropout,-0.7515163699185221,0.0,0.2794233316667899,0.155602394770992,0.0779730311775151,0.3928571428571428,0.4461538461538462,0.3405483405483405,0.2722457627118644,0.6105092665986325
PostNet Aleatoric,0.1951822591816906,3.2750648111709197e-19,0.0206375890034213,0.5842014986007041,0.054271206075707,0.0237659963436928,0.0245071923281832,0.0261136712749615,0.026686807653575,0.1069104686986432
PostNet Epistemic,0.0431922486512078,0.0494856528080413,0.0272646727398375,0.5250428816466552,0.0318013974986104,0.02643391521197,0.0263414634146341,0.0266731328806983,0.0266214908034849,0.135707149238737
GPC Entropy,0.0665563820371643,0.0024542129102757,0.0180930935480496,0.6154213767116993,0.0403042740085836,0.0167364016736401,0.0175284837861524,0.0215326155794806,0.0241228070175438,0.0897728309816992
