,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.3828931388885441,4.20694802673743e-62,0.0125574905696758,0.6665429086665959,0.0369526810404154,0.0157480314960629,0.0068143100511073,0.0085378868729989,0.0109519797809604,0.429215304820205
egRUE,0.4527398555520833,5.095437232764088e-89,0.0092739159346293,0.7127046426929742,0.0442360214648279,0.0087591240875912,0.0073982737361282,0.0081871345029239,0.0080645161290322,0.4260116180323215
Entropy,0.4761483258378041,1.5051885852612014e-99,0.0122817676048418,0.7144018952653726,0.0512002971896782,0.0094043887147335,0.0078636959370904,0.0081018518518518,0.0077262693156732,0.4264009755639408
Deep Ensemble,0.7062575998153917,4.91555640823763e-264,0.0130253673716687,0.8355987364793721,0.5779656234340418,0.010752688172043,0.0101744186046511,0.0104022191400832,0.0109965635738831,0.3566265242709145
MC Dropout,-0.1677972537278554,1.6827909188202765e-12,0.0253266504349788,0.4080478059474559,0.0166187212809472,0.0,0.0273972602739726,0.0289855072463768,0.0272727272727272,0.466198841007947
PostNet Aleatoric,0.3922630884745339,2.370075914121812e-65,0.0162977218061747,0.8683646191357481,0.2950798873330393,0.0128108515448379,0.0297498309668695,0.041025641025641,0.0477075588599752,0.0731648385215826
PostNet Epistemic,0.0346914640687676,0.1472253429949994,0.0213750748185213,0.8029973659214868,0.1638461184856603,0.0724554341575618,0.0722477064220183,0.0722063037249283,0.0721649484536082,0.0825634948306651
GPC Entropy,0.1154572017437946,1.308133301793766e-06,0.0102944081878013,0.7023973692585128,0.07555083386488,0.0100558659217877,0.0095313741064336,0.0123881624225739,0.0157927984838913,0.0571116603555093
