,OOD AUROC-OCTDL IN,OOD AUROC-OCTDL OUT,OOD AUROC-ChestMNIST,OOD AUPR-OCTDL IN,OOD AUPR-OCTDL OUT,OOD AUPR-ChestMNIST
ResNet18 Entropy,0.6417447495961227,0.30493693693693696,0.72804,0.5174590584070979,0.40094869260028415,0.6961170766853791
ResNet18 MC Dropout,0.6438610662358643,0.30880980980980977,0.7287150000000001,0.5363845273427061,0.4150295916690484,0.6943716633629451
Deep Ensemble,0.7374232633279483,0.4603603603603603,0.9535809999999999,0.6477034924373118,0.5381274438484789,0.9374080633964521
ResNet18 RUE,0.918297253634895,0.9553603603603604,1.0,0.8756774874271763,0.9533364485277089,1.0
ResNet18 egRUE,0.9497140549273021,0.9691421421421421,0.9999049999999999,0.936042501589629,0.9708962923017913,0.9999049573110081
PostNet Aleatoric,0.6467043618739904,0.4486616616616617,0.506611,0.5404131679485903,0.4640396579414711,0.513035100075308
PostNet Epistemic,0.5762697899838449,0.35484484484484485,0.37516900000000003,0.4869321837130801,0.3946052512997724,0.39945818284442325
BNN,0.7264684975767366,0.7272352352352353,0.8923129999999999,0.6458730305269319,0.7528465819675872,0.9014440665502559
DEC,0.6422504038772213,0.672966966966967,0.7603629999999999,0.5264242060347145,0.6475864380453364,0.7161538130017355
