,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,0.7338742831012377,0.9174719060911889,0.39148414992721275,0.30115830115830117,0.07428571428571429,0.11917494270435447
Valid,0.7954893523920654,0.9186712485681557,0.3873948953866549,0.46875,0.10714285714285714,0.1744186046511628
Test,0.7274141649870938,0.907842014882656,0.40019009200483985,0.36363636363636365,0.07894736842105263,0.12972972972972974
