,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
ResNet18 Entropy,0.09632541022033204,0.7355536495660643,0.4208869386263072,0.6583828329843701,0.09798819053901647,0.09550561797752809,0.10384615384615385,0.11501316944688324,0.12231404958677686
ResNet18 MC Dropout,0.07949557378491752,0.7172401645881139,0.35950854417764133,0.6453114616345941,0.09947994211719968,0.09401709401709402,0.11199207135777998,0.1210762331838565,0.12975206611570247
Deep Ensemble,0.1462214622594872,0.7749232452270882,0.44158153143062184,0.5213553368745366,0.08409969817420017,0.06994535519125683,0.07588856868395773,0.09019264448336252,0.09842845326716294
ResNet18 RUE,0.3407362669740774,0.7594310136795128,0.4222381252763996,0.32960211560268304,0.09164575103705747,0.037037037037037035,0.06766917293233082,0.07278020378457059,0.07905544147843943
ResNet18 egRUE,0.4083360773724209,0.7860825616498761,0.4542795390870564,0.2914789699830606,0.08259674002169964,0.03773584905660377,0.05365853658536585,0.07015457788347206,0.07635009310986965
PostNet Aleatoric,-0.10064348355943295,0.6108283273425575,0.5660305572880054,1.9265750553139926,0.38284336767817007,0.38254310344827586,0.4026340545625588,0.40853658536585363,0.41307947019867547
PostNet Epistemic,-0.13881093759924074,0.5474220173322172,0.5199555905232189,2.2069230612360333,0.4451726560591186,0.41770186335403725,0.40496760259179265,0.41582336706531736,0.4179357021996616
BNN,0.004012813264055643,0.6933000712758376,0.45532851747090386,1.7176640889033747,0.18588481285339745,0.15384615384615385,0.17050691244239632,0.18537074148296592,0.20526315789473684
DEC,0.04393401392833948,0.6150232642912903,0.4252811682316511,1.0275996097938036,0.2701900494026783,0.22709163346613545,0.2329192546583851,0.2707622298065984,0.2753074739829707
