Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.11736056310646656,0.9480187437130176,0.4337744471183997,0.01771020782130772,0.0010386272160868622,0.00017836439846606616,0.0006056323811446452,0.0007657126301194098,0.0009717398923121038
Valid,0.24923258466372158,0.8406829497994708,0.3522401763163553,0.08433675633206764,0.01474194909573693,0.009352037408149633,0.012269938650306749,0.011954874558006399,0.013803471368047014
Test,-0.13881093759924074,0.5474220173322172,0.5199555905232189,2.2069230612360333,0.4451726560591186,0.41770186335403725,0.40496760259179265,0.41582336706531736,0.4179357021996616
