Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.40170504129373713,0.8963452274445418,0.2743173751354735,0.09742604805077912,0.003742147932933379,0.0,0.0048543689320388345,0.0004693733865289838,0.0018222479913857367
Valid,0.38457652389115743,0.8811988273318511,0.3200428927027965,0.10533088094847899,0.0061527280967359,0.0,0.0,0.004934210526315789,0.002642007926023778
Test,0.04393401392833948,0.6150232642912903,0.4252811682316511,1.0275996097938036,0.2701900494026783,0.22709163346613545,0.2329192546583851,0.2707622298065984,0.2753074739829707
