,OOD AUROC-Raabin,OOD AUROC-Bone Marrow,OOD AUROC-ChestMNIST,OOD AUPR-Raabin,OOD AUPR-Bone Marrow,OOD AUPR-ChestMNIST
ResNet18 Entropy,0.6909091250876573,0.842261558144449,0.3041055037660081,0.7511940040740943,0.8573521574550174,0.4044898247408295
ResNet18 MC Dropout,0.6902801540188739,0.8430364716919014,0.33136555933523026,0.7479064325990261,0.8510453472475976,0.41479168313022247
Deep Ensemble,0.8271142156262525,0.9390987505085131,0.6788734847039382,0.8779515384018131,0.9493973495307455,0.6739369985277148
ResNet18 RUE,0.9999976929467658,0.9956342862630958,0.9999868412519233,0.9999976848136358,0.9958732943342345,0.9999869440188913
ResNet18 egRUE,0.9963107655392212,0.9344095366403202,0.9984027501441695,0.9957857449927561,0.9336269000771121,0.9984280988776508
BNN,0.7815671744262978,0.8903139309871513,0.9224967254797195,0.7627534788817651,0.8854798719608301,0.8993737052377019
DEC,0.7370499334329694,0.7697781323993926,0.8254543335474336,0.6808608772854653,0.7039553894725081,0.7376114764066429
PostNet Aleatoric,0.9180255281421615,0.8619825909762946,0.9290520463519465,0.8775088752033362,0.8274281471610261,0.8976331165786106
PostNet Epistemic,0.9142717816372405,0.8592320708425981,0.925471926964505,0.8700814306869751,0.8346124448692358,0.8964309609445281
