Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.43780646789021815,0.9084429355249554,0.3267236618953142,0.03284768216656177,0.007902370802694993,0.0025832766825288917,0.00484411874301329,0.007038123167155425,0.00864100549882168
Valid,0.41863459547777604,0.9080210139007883,0.32704135744807766,0.03468893109267738,0.007246811992175245,0.0028708133971291866,0.006124234470691163,0.008156606851549755,0.008566978193146417
Test,0.02622527300967839,0.7679253517056844,0.6202599863377372,3.002363685419768,0.2045224238501688,0.1238390092879257,0.13538781163434904,0.14748316768194936,0.16010733452593917
