Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.5846309606137695,0.9567435304655958,0.2631924120655391,0.17603729913350885,0.00023811558981038018,0.0,0.0,0.0,0.0
Valid,0.47886874739995067,0.9486753949228595,0.36527774674939595,0.17763940967789724,0.0010899083920992284,0.0,0.0,0.0,0.0
Test,0.4202232570320993,0.7983832581344323,0.7216773216676307,0.9743246563470617,0.22512386816518298,0.4897959183673469,0.2791666666666667,0.13702201622247973,0.16456277254991966
