Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.3900267093950225,0.9680820827648929,0.3762166938203821,0.004051360628280803,0.0008488812537694823,0.0002678093197643278,0.00024372410431391665,0.00023084025854108956,0.00044603033006244426
Valid,0.3925882881000306,0.9650342880193628,0.4145312883245515,0.004798272916099365,0.0010392123572656243,0.0,0.0,0.0008130081300813008,0.000782472613458529
Test,-0.0665377342550673,0.6497362433405682,0.6816928529308256,7.786181149223564,0.3527479408562004,0.39815018718343975,0.3949372298826919,0.39322709163346614,0.39337231968810915
