Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.9005874731132536,0.9999790882475952,0.95,0.012329031497550269,6.293746937642966e-08,0.0,0.0,0.0,0.0
Valid,0.5093268197835938,0.925693341478314,0.39510458304851687,0.04017921187773514,0.004652148820972729,0.0,0.001951219512195122,0.004366812227074236,0.007240547063555913
Test,0.2248140997757899,0.8527476172725937,0.8293924239114705,1.0090654823005885,0.22672746002458494,0.24907260201377848,0.29124236252545826,0.3238493723849372,0.35103244837758113
