,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,0.9998254232120934,0.980767622710929,0.05339213079062386,0.9769237995549946,0.9850774309795598,0.9805647996945817
Valid,0.9996695875533651,0.9772196261682243,0.06275994158021801,0.9731817374418898,0.9808880479483953,0.9766556654072889
Test-Blood,0.9987804073851633,0.9704764688687518,0.1097875067309584,0.9647428235720762,0.9776805385207563,0.9701896166957462
Test-Raabin,0.6288754513337078,0.07775504238526747,12.591080611575938,0.14299391369759967,0.15558985241632103,0.023654734299326612
