,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.537016604784793,6.424821511296991e-155,0.0285207263221657,0.7911637173327083,0.2803939576479717,0.0170454545454545,0.0226308345120226,0.0214953271028037,0.0252225519287833,0.3732198548522144
egRUE,0.5878311899178547,1.5345559787964984e-192,0.02919027019417,0.7924365535112048,0.2633965921289737,0.0133779264214046,0.0219244823386114,0.0239130434782608,0.0226104830421377,0.3693505106529581
Entropy,0.7053523785187003,3.162949097785e-311,0.0255695095160275,0.8202892040053648,0.3490555139270863,0.0,0.0153846153846153,0.0179640718562874,0.021505376344086,0.3349734223038567
Deep Ensemble,-0.7544695135065435,0.0,0.2719028194150915,0.1237450139233837,0.0572781504195524,0.6715328467153284,0.41005291005291,0.2771982116244411,0.2076677316293929,0.6095818558792223
MC Dropout,-0.4764728300073769,9.63095695056717e-118,0.0915346068979883,0.4076464005967922,0.0651651510829925,0.2105263157894736,0.0873015873015873,0.090146750524109,0.0970220941402497,0.525710155909495
PostNet Aleatoric,0.3862093921327916,1.429634259159459e-74,0.0263848697206488,0.8351556515077652,0.3493748011187069,0.0190735694822888,0.0217086834733893,0.0220820189274447,0.0220369267421083,0.1355986558845707
PostNet Epistemic,0.0514327871689501,0.0193033727112114,0.0327959411830387,0.7735693166781683,0.1992539948204291,0.0796116504854368,0.0795344325897187,0.0794188861985472,0.079380445304937,0.1543065939049989
GPC Entropy,0.0665563820371643,0.0024542129102757,0.0180930935480496,0.6154213767116993,0.0403042740085836,0.0167364016736401,0.0175284837861524,0.0215326155794806,0.0241228070175438,0.0897728309816992
