,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,1.0,0.9994982858098503,0.03811295224093047,0.9991197183098591,0.9995018419843582,0.9993090472898442
Valid,0.9962152927798466,0.9591121495327103,0.19835181345418498,0.9526108013849948,0.9645833152974129,0.95756319709248
Test-Blood,0.9943266785066552,0.9476761180941246,0.23264034922215115,0.934948950082257,0.9554401811249971,0.9427189150977716
Test-Raabin,0.5893290559585747,0.0701549254603917,3.2930577889893047,0.10274289554531489,0.14107950872656755,0.032503359922146084
