,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
ResNet18 Entropy,-0.04541721284716868,0.72399840813862,0.5832217358305626,2.670480742073297,0.21433230467134073,0.2537105751391466,0.27008547008547007,0.28026769417967956,0.2884427986747223
ResNet18 MC Dropout,-0.022732409615172797,0.7208305070958576,0.5884589300053208,2.6717403196138605,0.21596433061969658,0.25624421831637373,0.26944326391840207,0.2827530690279734,0.29167479040748684
Deep Ensemble,0.3586662312922332,0.9082373319759833,0.8929325657713355,1.5942026436912102,0.1746128678798351,0.12780972294824883,0.13445589344056297,0.14540131739448647,0.15852795470629866
ResNet18 RUE,0.5662358229696203,0.8898885697034017,0.7635362424667576,0.8704377771885666,0.12269888770487783,0.00423728813559322,0.021493820526598602,0.02451132485262178,0.024861070488446914
ResNet18 egRUE,0.5430326799607674,0.9019927542861323,0.8131703856948737,0.8554283692920461,0.11811159199533308,0.0,0.014760147601476014,0.02454212454212454,0.04133214391911983
BNN,0.09866243866431353,0.8083109632778708,0.6188419124520061,2.9044824654817054,0.15145338797249921,0.11557788944723618,0.13124183006535947,0.1429997504367357,0.15208034433285508
DEC,0.37012057226325557,0.764565492115005,0.6347363843592473,0.9730582240644797,0.22256114584290193,0.7241379310344828,0.3339449541284404,0.13634925656437835,0.16091687890715442
PostNet Aleatoric,0.2312456009068732,0.8491679145811112,0.7942222228989095,0.9856357300630587,0.22660547084548854,0.2077338129496403,0.28845692344612434,0.3368711526215241,0.37151277013752454
PostNet Epistemic,0.012564424664216343,0.7858327521129072,0.677082410842476,1.0978615151196824,0.256188122945909,0.2079272254710851,0.30484627410109433,0.36064487632508835,0.40515361744301287
