Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.3350200247280687,0.9403471454880294,0.314980544698489,0.015216559411045416,0.0025982809236046347,0.0013221153846153847,0.0016213086276780544,0.0016987542468856172,0.001895628902765388
Valid,0.3171623004266937,0.9401624098353218,0.3319313784951017,0.022124483642172763,0.003467711582784144,0.001693480101608806,0.0016246953696181965,0.0015822784810126582,0.001558846453624318
Test,0.09866243866431353,0.8083109632778708,0.6188419124520061,2.9044824654817054,0.15145338797249921,0.11557788944723618,0.13124183006535947,0.1429997504367357,0.15208034433285508
