Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.6724997182087392,0.9999999999999999,1.0,0.01400495184990378,1.258790331001184e-07,0.0,0.0,0.0,0.0
Valid,0.4611129726871498,0.8997998955977031,0.27543079932911807,0.0448925286799602,0.005424253216773059,0.0009596928982725527,0.0033222591362126247,0.004842615012106538,0.007069913589945012
Test,0.012564424664216343,0.7858327521129072,0.677082410842476,1.0978615151196824,0.256188122945909,0.2079272254710851,0.30484627410109433,0.36064487632508835,0.40515361744301287
