,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.3976883003632675,2.784327706730424e-67,0.0122193296678065,0.6699550935256886,0.0358286564611388,0.02,0.005607476635514,0.0076754385964912,0.010970464135021,0.4608378924399878
egRUE,0.4888318568546616,1.3205738885944476e-105,0.0094227835440644,0.7170538524097451,0.0479847842112726,0.0077881619937694,0.0080971659919028,0.0070175438596491,0.008073817762399,0.4579824070663317
Entropy,0.5120104851674253,2.3481343703160647e-117,0.0104149046759084,0.7189455818393975,0.0560044668422625,0.0118343195266272,0.0065681444991789,0.0072289156626506,0.0074074074074074,0.456308737226378
Deep Ensemble,-0.3244322844748237,4.21537546786918e-44,0.0256426593233946,0.7225621890547262,0.4239666433084499,0.0326086956521739,0.0155038759689922,0.0210772833723653,0.0238473767885532,0.440576880079453
MC Dropout,0.153227643113023,1.2110254714927638e-10,0.015481976405866,0.5492026448852586,0.0238828503601916,0.0,0.0,0.0,0.0109090909090909,0.4851827029563083
PostNet Aleatoric,0.4918809766485327,4.229339964199564e-107,0.0214701063699806,0.8932633109109566,0.4529706414959906,0.0121028744326777,0.0258199581297976,0.0424121935056328,0.057618437900128,0.106606928947596
PostNet Epistemic,0.3779746420782763,1.9389485046918262e-60,0.0302307578623743,0.8657187036825902,0.4424031396340364,0.0204081632653061,0.0163265306122449,0.0184873949579831,0.0206896551724137,0.1369068303026533
GPC Entropy,0.1154572017437946,1.308133301793766e-06,0.0102944081878013,0.7023973692585128,0.07555083386488,0.0100558659217877,0.0095313741064336,0.0123881624225739,0.0157927984838913,0.0571116603555093
