Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.3869892989564169,0.881996300408669,0.2661436964212797,0.04378893446112086,0.00975077344412224,0.0037540504228246265,0.0064201335387776065,0.009108159392789373,0.011259898812142543
Valid,0.3196619648599053,0.860832456029366,0.2517209501687493,0.05915915644914048,0.011737191979680386,0.0069767441860465115,0.010309278350515464,0.012387981022667369,0.014853323431117713
Test,0.004012813264055643,0.6933000712758376,0.45532851747090386,1.7176640889033747,0.18588481285339745,0.15384615384615385,0.17050691244239632,0.18537074148296592,0.20526315789473684
