Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.5012636505062974,0.9808601106567548,0.38842992935073006,0.004518103376243082,0.00018953549783319584,4.345370008256203e-05,6.314061414770694e-05,6.442157478539563e-05,7.170309183732003e-05
Valid,0.2562169216650968,0.886895420673909,0.4083360638415605,0.060810535272669344,0.009217414561220771,0.006990881458966565,0.00681855978712789,0.006741882223445239,0.007465519423003922
Test,0.015382294199394443,0.6702623219477152,0.4693919133344004,1.1079910660228227,0.18851744384368382,0.20137299771167047,0.21017907634307256,0.2131004366812227,0.21630615640599002
