Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.35700223648504925,0.9567890995827586,0.1690043090163884,0.0031550713363644395,0.0005660727923222399,2.688388848563056e-05,0.00012643366747945453,0.00019792634095095994,0.00026437357377414146
Valid,0.23860689501123636,0.9140101139548116,0.2370992622069787,0.020027088015325316,0.0030011792478093127,0.0009622323791195574,0.002576074706166479,0.002722570106180234,0.0026305900037579856
Test,-0.028833654571731815,0.6727533984987994,0.42636049367750656,1.543573068388056,0.1969609216309266,0.16158940397350993,0.17616580310880828,0.195077484047402,0.21589958158995817
