,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,0.9994017922855093,0.989474440124337,0.03291980930260618,0.9790085639597708,0.9840451361356669,0.9815049369889778
Valid,0.9963098309543104,0.9755354505169868,0.08269861613631584,0.9491161661646293,0.9663579998900214,0.957463635316991
Test-OCTMNIST,0.9874826666666667,0.86,0.4654659885366875,0.86,0.901533301373941,0.8595730128261739
Test-OCTDL,0.8479177011857469,0.4975767366720517,2.469937684757573,0.3209573217275682,0.6861946957571192,0.4039230685334926
