,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.5493529088303651,2.6251046238686395e-138,0.0131674526691293,0.8006257427213309,0.1337721012728541,0.0158730158730158,0.0071301247771836,0.0076838638858397,0.0110076206604572,0.221444847787995
egRUE,0.4736727634229194,2.1394055873246693e-98,0.013036504059489,0.7671754307783719,0.0881151277346908,0.0093167701863354,0.0088945362134688,0.0089463220675944,0.0125899280575539,0.224778636893507
Entropy,0.7120242917549496,2.842070559517002e-270,0.0124095323780341,0.8562277183600713,0.2997749611797404,0.0185185185185185,0.009367681498829,0.0074074074074074,0.0086021505376344,0.2084719447920157
Deep Ensemble,0.625133962367236,4.923925958621464e-190,0.0102152507296822,0.7152505215515718,0.0553319245173145,0.0064432989690721,0.0096153846153846,0.0105633802816901,0.0110420979986197,0.2835888518961224
MC Dropout,0.4687267276751882,4.028372615478858e-96,0.0167674382361511,0.7485965914820667,0.1309909078473047,0.0,0.0,0.0173611111111111,0.0116959064327485,0.2605658033500433
PostNet Aleatoric,0.4518853234380787,1.1919471780092468e-88,0.0124904592901109,0.8620799490364708,0.3276073399223961,0.0100502512562814,0.0147471910112359,0.0197109067017082,0.0234474017743979,0.0715779078980975
PostNet Epistemic,0.1154707603110648,1.3043742339823689e-06,0.0188009983783975,0.7778308647873865,0.1190181436403181,0.0522344747533372,0.0519630484988452,0.0523289246693502,0.0522388059701492,0.0925363605204318
GPC Entropy,0.1154572017437946,1.308133301793766e-06,0.0102944081878013,0.7023973692585128,0.07555083386488,0.0100558659217877,0.0095313741064336,0.0123881624225739,0.0157927984838913,0.0571116603555093
