,decoder_width,encoder_width,num_decoder_layers,num_encoder_layers,Epochs,Train Mae,Train Mse,Train Correlation,Valid Mae,Valid Mse,Valid Correlation,Time/s,best_hyperparameter
0,256,256,4,2,6,0.1287677139043808,0.06326659023761749,0.5257577672645886,0.12807682156562805,0.06288687139749527,0.5746399292380159,45.750195026397705,False
1,256,256,5,2,9,0.1286514699459076,0.06330467015504837,0.5251833315036968,0.12803825736045837,0.06333669275045395,0.5769566549191116,57.609295129776,False
2,256,256,6,2,5,0.12879227101802826,0.06348419934511185,0.5263310997510432,0.12815488874912262,0.06352561712265015,0.575477110961786,43.331820011138916,False
3,512,256,4,2,10,0.12848883867263794,0.06282734125852585,0.5252979427863201,0.12801752984523773,0.06142565980553627,0.5745031323078371,60.805115699768066,False
4,512,256,5,2,0,0.14158669114112854,0.06435930728912354,0.28376473072911645,0.12900936603546143,0.06314978748559952,0.5748599235108596,23.40247869491577,False
5,512,256,6,2,1,0.12967948615550995,0.06223789229989052,0.5242609366198918,0.128177210688591,0.063134104013443,0.5765025110728498,27.583606719970703,False
6,1024,256,4,2,3,0.12911126017570496,0.06189495325088501,0.5233472318916623,0.12880092859268188,0.058741673827171326,0.5705288046778313,34.435439586639404,False
7,1024,256,5,2,10,0.1288798600435257,0.0616021566092968,0.5229375299004657,0.1282387673854828,0.0632462128996849,0.5804195098610078,66.07871747016907,True
8,1024,256,6,2,1,0.12946155667304993,0.06198927015066147,0.5242270036147741,0.12769263982772827,0.06263336539268494,0.5774251505484199,30.46168041229248,False
