Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.1817845039054658,0.8357760242203218,0.07816688117551825,0.008369318255688101,0.0018705011945679831,0.001807084508860246,0.002542753926539219,0.0028937340629745295,0.003027231384581667
Valid,0.06821540457107578,0.692435194265858,0.09583384060743542,0.09282453672825931,0.018774553831119555,0.02258280361324858,0.025468793730758468,0.027340727366520507,0.02861018621284992
Test,-0.06344420352404709,0.5127493418806244,0.3237261406802301,1.6599570310777076,0.2628521672354974,0.3067765567765568,0.30995670995670993,0.31092436974789917,0.3075020610057708
