Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.5171887833601256,0.978373962097271,0.36586912736631505,0.0025577125272593926,0.0002434677325858818,0.0,4.8257113902874514e-05,7.33471225923807e-05,0.0001099958751546817
Valid,0.2074742583849532,0.8747885303949376,0.31029976716503266,0.054906291833801454,0.007754819840768496,0.006743088334457181,0.00827271430609043,0.009020787030984443,0.010012360939431397
Test,-0.02256619257389877,0.6849434769997834,0.46392643408614676,1.3142712565859656,0.18393744802326464,0.1960352422907489,0.2057460611677479,0.2117039586919105,0.21965317919075145
