,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.66955486213855,1.2251565651509542e-227,0.0363201534349439,0.8897239263803681,0.5521929518655205,0.017094017094017,0.0071428571428571,0.0075757575757575,0.0270042194092827,0.2840105616620645
egRUE,0.8117024776089266,0.0,0.0223524527941599,0.9628177037686242,0.86282041163844,0.0072289156626506,0.0085836909871244,0.0074812967581047,0.0081227436823104,0.2704233979807316
Entropy,0.6869139274305978,3.53994752846851e-244,0.0405917390689584,0.8762391664232156,0.4823687755577155,0.0434782608695652,0.0108108108108108,0.0075,0.0069565217391304,0.2706559082308669
Deep Ensemble,-0.7437262910972298,1.561292043382114e-307,0.2235830560110183,0.1545880828027905,0.0698148279076796,0.296,0.411214953271028,0.363905325443787,0.3458980044345898,0.5437993812766276
MC Dropout,0.5302349890133987,2.9732171160108768e-127,0.0564703069689313,0.7996880806369316,0.4201285706784124,0.0,0.0,0.0,0.0245098039215686,0.3333117386711537
PostNet Aleatoric,0.4568351487003148,8.389553222135324e-91,0.0527284134941161,0.819215977457924,0.4099827726551989,0.0109034267912772,0.0337909186906019,0.0653133274492497,0.0872323552735923,0.1715292918111434
PostNet Epistemic,0.0443988557801663,0.0635489218554244,0.0918374491701772,0.6497672492574823,0.2226210456435935,0.1655172413793103,0.1653272101033295,0.1651376146788991,0.1650429799426934,0.2298982720850878
GPC Entropy,0.1154572017437946,1.308133301793766e-06,0.0102944081878013,0.7023973692585128,0.07555083386488,0.0100558659217877,0.0095313741064336,0.0123881624225739,0.0157927984838913,0.0571116603555093
