Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.46449025686889595,0.9590630954463717,0.2103923720963605,0.003886187545329171,0.0005715009259585728,0.00025280797428581746,0.00033543232652812294,0.0003851091142490372,0.00042587682543171544
Valid,0.31516638157984983,0.9312961532205595,0.23269525078248313,0.01102565026648564,0.0019332452374229015,0.000974025974025974,0.0016460905349794238,0.0018011063939276984,0.001852537977028529
Test,0.14078547299558802,0.7629132973374907,0.4635069541151129,0.6188799241490088,0.11266395813392671,0.09436133486766399,0.1073558648111332,0.12894499549143373,0.14700996677740863
