,OOD AUROC-OCTDL IN,OOD AUROC-OCTDL OUT,OOD AUROC-ChestMNIST,OOD AUPR-OCTDL IN,OOD AUPR-OCTDL OUT,OOD AUPR-ChestMNIST
ResNet18 Entropy,0.6966768982229402,0.38022522522522517,0.825917,0.5611869985519757,0.43075708004223046,0.8056660717774512
ResNet18 MC Dropout,0.6938836833602584,0.3856336336336336,0.8541219999999999,0.5463580862016787,0.44930989504586444,0.8429029219115685
Deep Ensemble,0.7532261712439419,0.5303853853853855,0.902343,0.6816952599214894,0.5576727148201819,0.8518656328116267
ResNet18 RUE,0.9625072697899839,0.9768138138138138,1.0,0.946316513060223,0.9757639130633605,1.0
ResNet18 egRUE,0.964437802907916,0.9771511511511511,0.999921,0.9589467456622286,0.978781998640465,0.9999190153072385
PostNet Aleatoric,0.7328384491114701,0.497983983983984,0.29532,0.5980680474132027,0.5098222960084903,0.3801149295316274
PostNet Epistemic,0.6100080775444265,0.421017017017017,0.244123,0.46134191335538344,0.45492968857032534,0.3571439531604696
BNN,0.726829563812601,0.7256071071071071,0.8881344999999999,0.6390602347281122,0.7253578124661091,0.8773709773519611
DEC,0.6185589660743134,0.6835745745745746,0.755415,0.5157066588320143,0.6720452305508273,0.7252762393243493
