,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.6494629097452506,3.447237182636169e-248,0.0310262045030866,0.8303808174681009,0.3961619458296434,0.0174418604651162,0.0225035161744022,0.0222222222222222,0.025830258302583,0.4679456593203364
egRUE,0.6943616249858151,1.1029700868045283e-297,0.0316972077509763,0.8306895603397728,0.3772905846009232,0.0163487738419618,0.0220930232558139,0.0234291799787007,0.0221774193548387,0.4649724824928314
Entropy,0.7474878931006641,0.0,0.0316051707191323,0.8217749342299848,0.37480421219817,0.0,0.0092592592592592,0.018018018018018,0.0170454545454545,0.4466076692146586
Deep Ensemble,0.1450973099373437,3.3327293498784e-11,0.0220317507410599,0.8169623591464876,0.508241015915878,0.0213270142180094,0.0198789974070872,0.0225515463917525,0.0266370699223085,0.5457284241899365
MC Dropout,-0.7666003589826456,0.0,0.2756208833868386,0.1160853012296136,0.0559609402360374,0.9166666666666666,0.821917808219178,0.56640625,0.3172905525846702,0.6255036420685463
PostNet Aleatoric,0.2463914768687932,5.4762552673645616e-30,0.017319265014394,0.6691318578553616,0.1150523885325721,0.0221099178774478,0.0247844827586206,0.0241397021058038,0.0245860511791269,0.097775650017606
PostNet Epistemic,0.1094094224029537,6.08183978745974e-07,0.0211955766970525,0.6071150249376559,0.0478378814848256,0.0258572231590781,0.0298507462686567,0.0313264806656877,0.0311132717549829,0.1113387965153698
GPC Entropy,0.0665563820371643,0.0024542129102757,0.0180930935480496,0.6154213767116993,0.0403042740085836,0.0167364016736401,0.0175284837861524,0.0215326155794806,0.0241228070175438,0.0897728309816992
