,OOD AUROC-OCTDL IN,OOD AUROC-OCTDL OUT,OOD AUROC-ChestMNIST,OOD AUPR-OCTDL IN,OOD AUPR-OCTDL OUT,OOD AUPR-ChestMNIST
ResNet18 Entropy,0.6511631663974151,0.4874724724724725,0.916196,0.53334776208503,0.5173986537551568,0.9126882675601585
ResNet18 MC Dropout,0.6238384491114701,0.48480780780780774,0.9063510000000001,0.4888062225872066,0.4997026719495075,0.8887946969637778
Deep Ensemble,0.743529886914378,0.5100750750750751,0.8855999999999999,0.6748738677869315,0.5490945131402674,0.8166637348606167
ResNet18 RUE,0.963529886914378,0.9810050050050051,0.9999999999999999,0.9525397319589416,0.9812725499665592,1.0
ResNet18 egRUE,0.9879386106623587,0.9866516516516517,0.999915,0.9848135912535783,0.9872908237111921,0.9999168390684217
PostNet Aleatoric,0.5472084006462035,0.5221251251251251,0.591279,0.4171093584042267,0.47758722290737243,0.5213404628242325
PostNet Epistemic,0.4649046849757674,0.5967027027027028,0.5019490000000001,0.35761216822273595,0.5244423428981466,0.4498596184491229
BNN,0.744735056542811,0.7272117117117118,0.8759665,0.6913309302841741,0.747806319684464,0.8822582374558792
DEC,0.6488384491114702,0.6701991991991992,0.7814940000000001,0.5057654888689378,0.6445967728896775,0.7334147847428336
