Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.46666630667805137,0.9055784848994853,0.24960939525701922,0.1289259092361679,0.00205141891846872,0.0,0.00020903010033444816,0.0010608471622338411,0.0016744363048235183
Valid,0.4034703843087176,0.8801377207981617,0.3033211012282063,0.13859728402402074,0.005405628357556943,0.0,0.0035443037974683543,0.003702941781526435,0.00475915777329103
Test,0.11022715083660488,0.6327612117377204,0.4477656038268927,0.9215934371652114,0.2585129948920071,0.18248175182481752,0.189010989010989,0.2222222222222222,0.25151148730350664
