,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
ResNet18 Entropy,-0.025970467846164684,0.6667854470298971,0.437378086482147,1.1933125580499657,0.1832293549683248,0.16310160427807488,0.1812366737739872,0.18352059925093633,0.19379194630872484
ResNet18 MC Dropout,-0.0379491104207138,0.6534923345746658,0.38954774922449276,1.1452150734463449,0.18153373510951287,0.1589041095890411,0.18342541436464088,0.1964117091595845,0.20903010033444816
Deep Ensemble,0.15650740525816093,0.7698749244432046,0.4400405848106303,0.5773846844994782,0.10077268176498655,0.06763285024154589,0.08846918489065607,0.10588235294117647,0.11970074812967581
ResNet18 RUE,0.5003558115583867,0.8374391745556625,0.6513259708821832,0.34664152465013487,0.10054602006016253,0.0410958904109589,0.06108597285067873,0.07478890229191798,0.09333333333333334
ResNet18 egRUE,0.506672297200103,0.8262302676121585,0.640377156893764,0.3393155760606992,0.10204160401373993,0.030612244897959183,0.08069620253164557,0.07979274611398963,0.09537037037037037
PostNet Aleatoric,-0.03813612414453609,0.695838245092512,0.4579136066492423,0.952512900086744,0.18954559034377497,0.21076746849942726,0.26710402999062793,0.2895419187554019,0.29411764705882354
PostNet Epistemic,0.13599187931423964,0.7528966565868827,0.5568302381196876,0.8468193343673182,0.17773414387134767,0.12806539509536785,0.17612293144208038,0.2198443579766537,0.24237427864798022
BNN,-0.047020787609406846,0.7039865838999749,0.5005222626210063,2.535561833002721,0.19982814030813878,0.20619658119658119,0.21442495126705652,0.22140896614821592,0.228270412642669
DEC,0.11022715083660488,0.6327612117377204,0.4477656038268927,0.9215934371652114,0.2585129948920071,0.18248175182481752,0.189010989010989,0.2222222222222222,0.25151148730350664
