Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.36169818887071636,0.9574466181545577,0.3636772604876478,0.004793556897485443,0.0005027327187068471,6.025548324897566e-05,0.00010436670284712365,0.00040196803550181687,0.0005723299412314865
Valid,0.1931275378816116,0.8516687001006015,0.37579805210672496,0.0917982777332145,0.011678120812596372,0.010235131396957123,0.010276532137518685,0.010266647654356196,0.011049723756906077
Test,-0.08379527706916266,0.5566810697567842,0.48136611413118396,2.8608146498363833,0.3548550874043511,0.3232432432432432,0.3173873045078197,0.31982758620689655,0.31600660066006603
