,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
ResNet18 Entropy,-0.10926444892466429,0.6323191075404839,0.4521473996002532,2.6027991370137213,0.2271498807974433,0.21171171171171171,0.21346153846153845,0.2255772646536412,0.2298187808896211
ResNet18 MC Dropout,-0.11917704307707425,0.61496320553662,0.4019833783574922,2.558264394943686,0.22978916606853084,0.22301304863582444,0.2237354085603113,0.22670250896057348,0.23573200992555832
Deep Ensemble,0.10758667543124423,0.7447574262815412,0.47836513439191986,0.7964830660277469,0.12693252201464778,0.10035419126328217,0.12412412412412413,0.1422142214221422,0.15780730897009967
ResNet18 RUE,0.3693485882836272,0.7446089201565356,0.5643802760408322,0.7514777188576787,0.16171326622354465,0.0,0.11790393013100436,0.1423487544483986,0.1522956326987682
ResNet18 egRUE,0.41932120561691033,0.7671571347196638,0.6176340902737071,0.7150757815730041,0.15001776362379074,0.0,0.10126582278481013,0.14006024096385541,0.1483402489626556
PostNet Aleatoric,-0.08379527706916266,0.5566810697567842,0.48136611413118396,2.8608146498363833,0.3548550874043511,0.3232432432432432,0.3173873045078197,0.31982758620689655,0.31600660066006603
PostNet Epistemic,-0.22856216452258712,0.39248093227274217,0.303601672303426,3.054979082534112,0.4168772860384149,0.45878848063555117,0.4468864468864469,0.4378238341968912,0.4242174629324547
BNN,0.014907537346907501,0.7169407167736347,0.511638639839507,2.193592875172046,0.1871924402428096,0.17208182912154033,0.19202518363064008,0.21002838221381268,0.23016564952048824
DEC,0.09486620304779264,0.6604825742756777,0.4713046011971885,0.9592832445149755,0.24682620732666435,0.12560386473429952,0.19141914191419143,0.24824355971896955,0.25665399239543724
