Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.9414461007903332,,0.0,0.0006148439551820255,0.0,0.0,0.0,0.0,0.0
Valid,0.37184133620551346,0.9481816961889425,0.5010810123507016,0.023932933466893135,0.004552338438669056,0.0013404825737265416,0.0009532888465204957,0.003389830508474576,0.003955696202531646
Test,0.06726847692837973,0.8641593029072384,0.8268263946983164,1.370839370273408,0.21428626723982563,0.256563245823389,0.2965953731994762,0.3276743710370219,0.3504973668812171
