Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.828050610528579,0.9859467886700082,0.14107015978624668,0.0015041229454041511,2.9196974680746557e-05,0.0,0.0,0.0,0.0
Valid,0.7589354013198546,0.9756589564281872,0.29160235414177615,0.0021079282808541626,0.00040011732281279165,0.0,0.0,0.0,0.0
Test,0.04658398310364564,0.8375880509230815,0.8265156406270701,2.8429646842948486,0.2215152008985603,0.18808699950568464,0.20079662605435802,0.21076538723597546,0.2301845819761129
