,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,1.0,1.0,0.0012393996050373652,1.0,1.0,1.0
Valid,0.9963089512117465,0.9462616822429907,0.18700321096056943,0.9456841426561311,0.9448497935981263,0.9426160300336608
Test-Blood,0.9930577802245076,0.9418298743057586,0.227615380500104,0.9359981948674252,0.9400914804175452,0.9359364349653468
Test-Raabin,0.625707550591476,0.10201695410698626,4.155424101768289,0.15430791741924713,0.16389349706471765,0.05334299696895835
