Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.42848326800256875,0.9841423017138381,0.2895034917073162,0.0005094776249592168,6.408717635982072e-05,0.0,0.0,0.0,0.0
Valid,0.3232930522970229,0.9544642373707293,0.2970577962821462,0.006200409060425373,0.0011362643839370886,0.0,0.0,0.0008051529790660225,0.00078003120124805
Test,-0.17285267880297556,0.5684328622722306,0.5857397531532134,15.229672255343974,0.4028304123833888,0.40664796028491257,0.39938587512794266,0.3976910828025478,0.3938803352173066
