,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,0.7362201132621203,0.8538400973444993,0.42812132922634266,0.4517374517374517,0.05800694100148736,0.10281195079086115
Valid,0.7996280630105017,0.861397479954181,0.42395864335771005,0.5625,0.07317073170731707,0.12949640287769784
Test,0.719582051554047,0.8374356038923869,0.4405053689282624,0.5151515151515151,0.05964912280701754,0.1069182389937107
