,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,0.9998319094170645,0.9806840036792374,0.05389465829633789,0.9768126725769523,0.9848544552853523,0.9804036719913853
Valid,0.9996836809759817,0.9783878504672897,0.06317037675163302,0.9744192235375517,0.9828924389735944,0.9782944583482572
Test-Blood,0.9987467995967556,0.9701841566793336,0.11506178535558433,0.9648515415017617,0.9774643968530148,0.9701580131167682
Test-Raabin,0.6259586095553781,0.07746273019584916,13.549255314647636,0.1429255282773713,0.15561569688768606,0.023561727582649454
