Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.4317012118595928,0.982662192393736,0.2587719391030535,0.0004959090128570893,6.437018370260503e-05,0.0,0.0,0.0,0.0
Valid,0.33156971320288237,0.9580543154761905,0.3012346967179374,0.005348551336943839,0.0010125067582241448,0.0,0.0,0.0,0.0
Test,-0.17074826046027208,0.5668648933361643,0.5829760979007975,15.326663738317329,0.40453042941830497,0.40406852248394004,0.3980917580186764,0.39595719381688466,0.3962190606119665
