Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.04331002835630109,0.6380506797453106,0.005184939423023955,0.008782977049441294,0.0023604767184038796,0.006944444444444444,0.0022650056625141564,0.0009775171065493646,0.0013683634373289546
Valid,0.08668620616627004,0.6717819940476191,0.03176745259768222,0.024934041333987668,0.008914381181076956,0.0,0.0,0.0,0.007285974499089253
Test,0.4839448451452172,0.9560781353026223,0.9345948472796854,3.016954833284977,0.14438826882164077,0.008547008547008548,0.013770180436847104,0.021799201719373655,0.0782608695652174
