Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.6532935654410904,0.9734495310093797,0.39830404940420605,0.15098732489477484,0.0001653309875788355,0.0,0.0,0.0,0.0
Valid,0.5070681621830974,0.9459821428571429,0.3058246743081959,0.1536520597855791,0.001286778046031525,0.0,0.0,0.0,0.0
Test,0.357330110099945,0.7501067565752849,0.6424552136750529,1.0261538401785848,0.23392611304571578,0.41025641025641024,0.19645821804095184,0.16607862903225806,0.19223300970873786
