Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.0026100390700276106,0.51440358579394,0.01072106879041103,0.03104775270617734,0.009698241040748061,0.006896551724137931,0.005175983436853002,0.00833645560134882,0.010309278350515464
Valid,0.0451105356429799,0.6102928126188508,0.03989100251550304,0.06518106401699145,0.016778265098627135,0.0,0.009868421052631578,0.012833675564681724,0.015861908094238396
Test,0.34992914531500185,0.753884062813231,0.549962024478268,0.53842999659121,0.14616877368507664,0.03571428571428571,0.12413793103448276,0.12058823529411765,0.14256198347107438
