Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.40413007501126624,0.89349276726347,0.26550695661175827,0.034149007508368245,0.007501792473974738,0.0031696305169077676,0.004947928938315819,0.006689253757275649,0.008309793489290514
Valid,0.3429598194003779,0.8775734153837479,0.2458010924302671,0.04567849287350481,0.00903423678407622,0.00519611129735166,0.00766501064584812,0.008203125,0.010244384102690693
Test,-0.015685365290172438,0.6942892878574319,0.4959341963433859,2.0385116440851276,0.2169372353638282,0.17420212765957446,0.1935123042505593,0.21379310344827587,0.24046140195208518
