,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.5939364057063035,4.581805363556644e-167,0.0159059590438653,0.8388742939708393,0.2141178312688438,0.0196078431372549,0.0070052539404553,0.0095846645367412,0.0108063175394846,0.221693803191252
egRUE,0.710569066669556,1.1022518297257688e-268,0.0128660203751046,0.8585840010508341,0.2147839473637864,0.0076335877862595,0.0084151472650771,0.0072376357056694,0.0091649694501018,0.2118473350826818
Entropy,0.734405886929106,5.063427149836905e-296,0.0143487602540791,0.8831406804150795,0.3600870647249655,0.0166666666666666,0.009090909090909,0.0075301204819277,0.0069044879171461,0.2077737339371736
Deep Ensemble,0.678644286737361,3.72220140018465e-236,0.0122690082662456,0.7834543178973716,0.3839292980491344,0.0134529147982062,0.0107066381156316,0.0104311543810848,0.0108917631041524,0.298837319067792
MC Dropout,0.6487432602140425,3.105335371052211e-209,0.015205899661064,0.8468100141328488,0.3237109088399741,0.0,0.0141843971631205,0.0160183066361556,0.0104408352668213,0.2375912692514193
PostNet Aleatoric,0.4468118726120709,1.7617830631240886e-86,0.0535832742117249,0.8490725555258908,0.5005373472541826,0.0106257378984651,0.0505979760809567,0.0831987075928917,0.1032689450222882,0.1494652911031398
PostNet Epistemic,0.1320871616293304,3.00393354248127e-08,0.0778050519158659,0.7447779600035598,0.3305236440456294,0.1875739644970414,0.1880441091120139,0.1896253602305475,0.1890804597701149,0.1822832234308128
GPC Entropy,0.1154572017437946,1.308133301793766e-06,0.0102944081878013,0.7023973692585128,0.07555083386488,0.0100558659217877,0.0095313741064336,0.0123881624225739,0.0157927984838913,0.0571116603555093
