,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
ResNet18 Entropy,-0.113 ± 0.050,0.668 ± 0.056,0.621 ± 0.037,7.673 ± 4.206,0.306 ± 0.067,0.330 ± 0.061,0.337 ± 0.051,0.342 ± 0.046,0.346 ± 0.042
ResNet18 MC Dropout,-0.104 ± 0.059,0.667 ± 0.054,0.620 ± 0.040,7.662 ± 4.171,0.307 ± 0.066,0.330 ± 0.060,0.337 ± 0.050,0.343 ± 0.044,0.347 ± 0.040
Deep Ensemble,0.220 ± 0.143,0.864 ± 0.033,0.843 ± 0.030,2.657 ± 0.982,0.204 ± 0.034,0.157 ± 0.040,0.169 ± 0.041,0.180 ± 0.040,0.197 ± 0.042
ResNet18 RUE,0.583 ± 0.051,0.923 ± 0.024,0.848 ± 0.063,1.773 ± 0.777,0.142 ± 0.013,0.004 ± 0.003,0.020 ± 0.004,0.022 ± 0.003,0.025 ± 0.005
ResNet18 egRUE,0.552 ± 0.047,0.930 ± 0.025,0.876 ± 0.057,1.787 ± 0.792,0.139 ± 0.013,0.003 ± 0.003,0.012 ± 0.003,0.022 ± 0.004,0.044 ± 0.018
BNN,0.094 ± 0.055,0.799 ± 0.021,0.631 ± 0.014,2.636 ± 0.452,0.165 ± 0.024,0.114 ± 0.015,0.127 ± 0.014,0.138 ± 0.014,0.150 ± 0.012
DEC,0.383 ± 0.023,0.770 ± 0.016,0.640 ± 0.053,0.970 ± 0.034,0.223 ± 0.007,0.490 ± 0.137,0.239 ± 0.059,0.140 ± 0.013,0.172 ± 0.012
PostNet Aleatoric,0.222 ± 0.120,0.871 ± 0.042,0.817 ± 0.073,0.964 ± 0.248,0.202 ± 0.026,0.222 ± 0.037,0.281 ± 0.023,0.321 ± 0.017,0.349 ± 0.018
PostNet Epistemic,0.218 ± 0.165,0.864 ± 0.057,0.801 ± 0.096,0.970 ± 0.251,0.205 ± 0.032,0.184 ± 0.045,0.260 ± 0.035,0.313 ± 0.028,0.351 ± 0.030
