,Pearson's Correlation,Pearson's P-Value,AURC (0/1 Loss),AUROC,AUPR,Sigma-Risk Score (0.1),Sigma-Risk Score (0.2),Sigma-Risk Score (0.3),Sigma-Risk Score (0.4),AURC
RUE,0.542 ± 0.059,0.000 ± 0.000,0.049 ± 0.021,0.794 ± 0.026,0.370 ± 0.054,0.018 ± 0.003,0.033 ± 0.013,0.039 ± 0.021,0.052 ± 0.029,0.410 ± 0.031
egRUE,0.602 ± 0.047,0.000 ± 0.000,0.044 ± 0.015,0.812 ± 0.013,0.366 ± 0.070,0.016 ± 0.004,0.021 ± 0.002,0.026 ± 0.005,0.033 ± 0.014,0.404 ± 0.030
Entropy,0.703 ± 0.035,0.000 ± 0.000,0.045 ± 0.020,0.812 ± 0.019,0.381 ± 0.040,0.000 ± 0.000,0.008 ± 0.007,0.015 ± 0.004,0.019 ± 0.004,0.368 ± 0.034
Deep Ensemble,-0.262 ± 0.314,0.003 ± 0.008,0.121 ± 0.105,0.531 ± 0.240,0.238 ± 0.162,0.164 ± 0.217,0.136 ± 0.142,0.128 ± 0.113,0.117 ± 0.094,0.541 ± 0.050
MC Dropout,-0.531 ± 0.301,0.000 ± 0.000,0.222 ± 0.113,0.307 ± 0.217,0.133 ± 0.134,0.441 ± 0.324,0.378 ± 0.269,0.299 ± 0.184,0.230 ± 0.124,0.578 ± 0.062
PostNet Aleatoric,0.386 ± 0.141,0.000 ± 0.000,0.031 ± 0.012,0.741 ± 0.137,0.295 ± 0.194,0.020 ± 0.004,0.022 ± 0.003,0.024 ± 0.003,0.031 ± 0.014,0.150 ± 0.042
PostNet Epistemic,0.122 ± 0.091,0.042 ± 0.096,0.043 ± 0.026,0.653 ± 0.147,0.166 ± 0.141,0.071 ± 0.061,0.086 ± 0.059,0.088 ± 0.060,0.088 ± 0.060,0.175 ± 0.052
GPC Entropy,0.067 ± 0.000,0.002 ± 0.000,0.018 ± 0.000,0.615 ± 0.000,0.040 ± 0.000,0.017 ± 0.000,0.018 ± 0.000,0.022 ± 0.000,0.024 ± 0.000,0.090 ± 0.000
