Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.8882535679162369,0.9916757299422738,0.044379121891528865,0.0004694230602544832,4.3275345624474785e-06,0.0,0.0,0.0,0.0
Valid,0.5786033195063309,0.9713949183913848,0.17575621386487508,0.0014061944991348087,0.0002726164131142895,0.0,0.0,0.0,0.0
Test,0.3586662312922332,0.9082373319759833,0.8929325657713355,1.5942026436912102,0.1746128678798351,0.12780972294824883,0.13445589344056297,0.14540131739448647,0.15852795470629866
