Split,Pearson's Correlation,AUROC,AUPR,AURC (CE Loss),AURC (0/1 Loss),Sigma Risk (0.1),Sigma Risk (0.2),Sigma Risk (0.3),Sigma Risk (0.4)
Train,0.44023338557442565,0.9702000455579245,0.3679495063981492,0.003502240063910822,0.0006408403204352966,0.00013066771200836272,0.00024142926122646064,0.00023046784973496196,0.00033452274754683316
Valid,0.47300090829781843,0.9692312183444994,0.4234329376037416,0.003941986924744359,0.001053888263935119,0.0,0.0,0.0,0.0
Test,-0.04541721284716868,0.72399840813862,0.5832217358305626,2.670480742073297,0.21433230467134073,0.2537105751391466,0.27008547008547007,0.28026769417967956,0.2884427986747223
