,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,0.999805388856681,0.9841123839785936,0.04846117711124987,0.979464378362364,0.982045593664117,0.9803058433778582
Valid,0.9997586804768348,0.9748831775700935,0.06177614817977722,0.9715763528762669,0.9737363391740755,0.9719957339904255
Test-Blood,0.9992211955757015,0.9757380882782812,0.07753093410881429,0.971057257210022,0.9752883039808822,0.9726773796880761
Test-Raabin,0.718529429071585,0.2814966384098217,5.245297566579753,0.16355894777265745,0.15816885707947043,0.11704414818107561
