,AUC,Accuracy,Crossentropy Loss,Recall,Precision,F1-Score
Train,0.9998033468801693,0.984028764946902,0.04782136564931356,0.9791306142866425,0.9819215261403813,0.9800596481819375
Valid,0.9997489724594704,0.9760514018691588,0.06187866562469974,0.9713521908902909,0.9740399819711161,0.9719169909190197
Test-Blood,0.9991939291065599,0.9769073370359544,0.07897103304518584,0.9722193288959855,0.9765315072476499,0.9739019407119891
Test-Raabin,0.718256208101179,0.2800350774627302,5.564004836560903,0.162372311827957,0.15822350205766494,0.1164477971107835
